"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2020,1,2,"Eixample",10,"Sant Antoni","Homes","Demanda No Aturats",204
2020,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Demanda No Aturats",237
2020,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Demanda No Aturats",17
2020,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Demanda No Aturats",191
2020,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Demanda No Aturats",60
2020,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Demanda No Aturats",85
2020,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Demanda No Aturats",100
2020,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Demanda No Aturats",100
2020,1,3,"Sants-Montjuïc",18,"Sants","Homes","Demanda No Aturats",199
2020,1,4,"Les Corts",19,"les Corts","Homes","Demanda No Aturats",206
2020,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Demanda No Aturats",99
2020,1,4,"Les Corts",21,"Pedralbes","Homes","Demanda No Aturats",17
2020,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Demanda No Aturats",11
2020,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Demanda No Aturats",43
2020,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Demanda No Aturats",41
2020,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Demanda No Aturats",57
2020,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Demanda No Aturats",96
2020,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Demanda No Aturats",98
2020,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Demanda No Aturats",69
2020,1,6,"Gràcia",29,"el Coll","Homes","Demanda No Aturats",29
2020,1,6,"Gràcia",30,"la Salut","Homes","Demanda No Aturats",67
2020,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Demanda No Aturats",227
2020,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Demanda No Aturats",162
2020,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Demanda No Aturats",125
2020,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Demanda No Aturats",49
2020,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Demanda No Aturats",171
2020,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Demanda No Aturats",51
2020,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Demanda No Aturats",176
2020,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Demanda No Aturats",55
2020,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Demanda No Aturats",34
2020,1,7,"Horta-Guinardó",40,"Montbau","Homes","Demanda No Aturats",24
2020,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Demanda No Aturats",26
2020,1,7,"Horta-Guinardó",42,"la Clota","Homes","Demanda No Aturats",2
2020,1,7,"Horta-Guinardó",43,"Horta","Homes","Demanda No Aturats",156
2020,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Demanda No Aturats",150
2020,1,8,"Nou Barris",45,"Porta","Homes","Demanda No Aturats",142
2020,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Demanda No Aturats",95
2020,1,8,"Nou Barris",47,"Can Peguera","Homes","Demanda No Aturats",13
2020,1,8,"Nou Barris",48,"la Guineueta","Homes","Demanda No Aturats",91
2020,1,8,"Nou Barris",49,"Canyelles","Homes","Demanda No Aturats",44
2020,1,8,"Nou Barris",50,"les Roquetes","Homes","Demanda No Aturats",96
2020,1,8,"Nou Barris",51,"Verdun","Homes","Demanda No Aturats",74
2020,1,8,"Nou Barris",52,"la Prosperitat","Homes","Demanda No Aturats",160
2020,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Demanda No Aturats",58
2020,1,8,"Nou Barris",54,"Torre Baró","Homes","Demanda No Aturats",16
2020,1,8,"Nou Barris",55,"Ciutat Meridiana","Homes","Demanda No Aturats",83
2020,1,8,"Nou Barris",56,"Vallbona","Homes","Demanda No Aturats",10
2020,1,9,"Sant Andreu",57,"la Trinitat Vella","Homes","Demanda No Aturats",77
2020,1,9,"Sant Andreu",58,"Baró de Viver","Homes","Demanda No Aturats",14
2020,1,9,"Sant Andreu",59,"el Bon Pastor","Homes","Demanda No Aturats",81
